record_id,classification,resource_type,resource_id,fingerprint_md5,clinical_audit_set_fingerprint
05788ab0-b0b8-469a-b0b6-97040fced598,clinical_delete_target,cell_detection_run,60bd296d-21d5-4d22-99bc-a023cb410f35,65dc1b4d54356e1947faff3b0bdd7c2f,310e78840b955e3ca6e75eb03f0c66c8
05a8e6d6-fe16-4981-aa7e-5469532610d4,clinical_delete_target,image_ingestion_batch,f49b622b-d936-4514-8bf0-b6528de36355,a8198299421c9fed23e6a33955078d15,310e78840b955e3ca6e75eb03f0c66c8
05e1462a-5048-49c8-9f8e-46bf3f634d5d,clinical_delete_target,scientific_case,bb9e318e-39c7-4a84-b43f-5521ff835118,4a39c1b17ca2d15f9074559abb1aaaac,310e78840b955e3ca6e75eb03f0c66c8
062067c1-bb9f-4af9-b772-e8bf3423f1bc,clinical_delete_target,microscopy_analysis_run,d28e9146-5ad9-4df7-8af4-1b8901780c2b,40fe4e6c748a621a8b19c40b758aaba0,310e78840b955e3ca6e75eb03f0c66c8
0696518c-2687-431c-bb3f-1e3521420f72,clinical_delete_target,microscopy_analysis_run,3a9a3ddd-a6fb-43b7-98e8-82fe65649b10,26f643f51ea987922b6b6547b2b37bce,310e78840b955e3ca6e75eb03f0c66c8
06d9111c-8261-47e6-9f8d-9cc98acaa437,clinical_delete_target,cell_classification_run,86853bfd-35c8-45e7-84fd-930a99713af1,e36c872bf382a81ddf32e088434c99bb,310e78840b955e3ca6e75eb03f0c66c8
06eb3625-6f4f-47be-ae27-60346588d569,clinical_delete_target,microscopy_image,b0ad2c3c-3de1-4628-bf32-d60536a0da80,b18c7ef812be04d233a400e444ecf6ab,310e78840b955e3ca6e75eb03f0c66c8
06ff23cc-3571-49b7-9866-9a70a39ab389,clinical_delete_target,cell_detection_run,03505d0f-434b-48ac-ae42-76750f4fbc1a,818d9aeabeb64b8d76f34cfbb89135cb,310e78840b955e3ca6e75eb03f0c66c8
072bff3b-6548-4ada-a5c1-72165650d2b7,clinical_delete_target,microscopy_analysis_run,5ad2e702-acee-4f0a-9a01-8a2ba6b24733,518be301aaa683d05e3be4e2462938fc,310e78840b955e3ca6e75eb03f0c66c8
0754e560-08fd-4d03-a4ab-1eb64c5610c3,clinical_delete_target,quality_assessment_queue_item,f8a9bb5b-4534-4393-b9a7-a497fe18e513,5cacc48ed9886b7e5007d8076bfb64a1,310e78840b955e3ca6e75eb03f0c66c8
078df598-9340-4cdc-894e-7753172f804f,clinical_delete_target,cell_classification_run,68fa92d1-997c-432e-a612-487680160bbc,04f3ae302d5f3001edd21686cf18e24c,310e78840b955e3ca6e75eb03f0c66c8
079453cf-9d4b-40ea-9edd-9421f59bddbc,clinical_delete_target,blood_sample,379f204a-4f96-4449-90fc-25743d49817e,83dc23acc85898a2ad291556d1dcfe6f,310e78840b955e3ca6e75eb03f0c66c8
0889f6b0-42f1-4c8d-91c9-f29f72266daa,clinical_delete_target,image_ingestion_batch,98f244be-e300-4bd0-bfe9-eebbb6485c77,d15c2b9444cf73bc093be5c034f10214,310e78840b955e3ca6e75eb03f0c66c8
08f97772-96ea-4e8f-9dd6-4b6e557d9861,clinical_delete_target,cell_classification_run,1361f54c-2c8c-4f3c-85d7-0f5c373b8cae,045c97dcd7f5785ed69ef4438f586c59,310e78840b955e3ca6e75eb03f0c66c8
09468298-c05d-44a9-8417-efd2e308e6c2,clinical_delete_target,microscopy_analysis_run,db1855bf-e94d-43ea-86dc-5c1d21c82206,900680363c2307510eb8259cc402ac2f,310e78840b955e3ca6e75eb03f0c66c8
099e3bdd-ab54-4c5f-bcfc-43db6b8a6959,clinical_delete_target,microscopy_analysis_run,4383bcb6-1595-4b3c-9c6f-ced12863a762,25d9fbc270187bcdd81f194729931133,310e78840b955e3ca6e75eb03f0c66c8
09a13a1f-cb68-4fb6-bbe7-f82467225fc8,clinical_delete_target,research_subject,db1c80a9-3ee7-4fef-93a6-93e2e2e23db9,ad8eb5bac887466d74a8cac2445c2188,310e78840b955e3ca6e75eb03f0c66c8
09c187cb-7004-42e8-b624-e6d5ab80c595,clinical_delete_target,cell_classification_run,24d3e2fd-a41b-439e-865e-eca5dbccf2e3,48d4158165e0eb405b635145ddb96617,310e78840b955e3ca6e75eb03f0c66c8
09d30566-a305-4291-86c2-95cefed6e25f,clinical_delete_target,cell_detection,33c4650c-db10-4489-8bf9-502131b527a4,5a47a57b58bb1e5b1272b9f956a68d6a,310e78840b955e3ca6e75eb03f0c66c8
