source_table,record_id,storage_column,storage_key,expected_size,expected_sha256,clinical_entity_type
cell_crops,01d2503f-f572-4a92-b99a-99b0c54242c2,relative_storage_key,cell-crops/4e1ca921-c5c6-4d89-b035-2d7dd99040d5/b9f975b3-7cd8-4b9a-a2cc-1bd9a76d924c/dc6df3c3-f03e-4261-bd4c-a2df5e0f0d88/a2d12ade-ebcf-4d29-8f4a-cecb08381c03/crop.png,2926,fac82cfd964089569f18d62b9ff80d21bbedb01106906825089eea79f824dd19,cell_crops
cell_crops,0207ffa2-71d9-4ce3-92f2-b93c5d60417d,relative_storage_key,cell-crops/c9a6b7af-881f-47da-980a-1a2c2b743a1c/03505d0f-434b-48ac-ae42-76750f4fbc1a/a0889d56-1430-4a7f-b67c-e21291ac9ed7/9024a0e0-aff4-45e4-a9d3-32214d69768b/crop.png,1766,b0c67f529ead3043da1082e1ceeba92a8fe41a9b252e09a15c894ede04226f73,cell_crops
cell_crops,0221bcf1-5d86-4fc8-8c19-ebf5fdf51a5d,relative_storage_key,cell-crops/e11b10f7-d1c3-4d6a-9e69-a4b6bc1abc46/1db1a505-3eaf-456d-b123-7b9f8ee77762/339d62a6-0363-472b-b2e3-4a7befd2c42f/4878b507-d904-4ae7-9853-56633e462e15/crop.png,5060,6e8262605a5c203d11cfd9f83052c5f953c05823ee2bd24cb658a582e64c1c67,cell_crops
cell_crops,0223991d-0663-4559-b4fc-e2a2ecdec769,relative_storage_key,cell-crops/7a11c0f4-a9d7-4446-a5f2-437ffc334a6c/0ff18f89-6fbd-4755-8e89-15227de46f41/3dca4192-f767-48f3-a7e8-59e22d9db3f9/e91f8102-a11e-4a79-a8fc-9d2bafe2cad3/crop.png,4384,820c686c603a7142f3f1bdfd13fbceecde25724750d24dff4de620cf7f79f674,cell_crops
cell_crops,022563e6-1ee8-4dc5-875c-3456880f5a9a,relative_storage_key,cell-crops/7ef7cff8-899e-428e-b89a-36803c0575b3/04bafb48-259f-4626-82fb-a3359ee3160b/26ddb17b-1b89-4301-8f40-011ccf0f40dc/f41d9eb8-fab8-464e-a3ec-c86eddbb09f7/crop.png,6224,01ae2a246bff47e04b4bfe981a60e9ae353d1fd44a14d1457a8ae631d0adef18,cell_crops
cell_crops,0246639b-583f-4a92-80b2-2160f41247e9,relative_storage_key,cell-crops/211b65b9-8b1b-4bc9-bf8e-2572a00a3ecd/85d8a71e-e9ed-4062-a036-52e42dd89720/83b0bdb6-4441-49e8-b6a7-4de634e8d548/f69b3751-248a-4049-9e02-f3ba30348c38/crop.png,847,bbe0abadea0e8bd4b9b8380b5230e33e444ad2977daa83577e7ad9b986e8c7a9,cell_crops
cell_crops,0277c14a-1174-49ec-a997-cc73b0874879,relative_storage_key,cell-crops/d28e9146-5ad9-4df7-8af4-1b8901780c2b/f196b05e-1e21-41c5-8292-1c802004009a/6948fa72-3ff5-45bb-beb5-8ae3bba8b6d6/9ee3ccf6-5e07-402b-b2f1-b245dc25070f/crop.png,4033,973623b604220b1b71791b1b3488d0e0748ed91130ba48f1fdfc34280aed899c,cell_crops
cell_crops,02a6cedc-0fac-40a5-9ed7-3575286dec7c,relative_storage_key,cell-crops/c9a6b7af-881f-47da-980a-1a2c2b743a1c/03505d0f-434b-48ac-ae42-76750f4fbc1a/a0889d56-1430-4a7f-b67c-e21291ac9ed7/d8e608cb-5ca7-4791-b218-dbc8bf17d595/crop.png,2189,6f6a721b893da527db4bc502906cdb27d91634f9a7fb8a2821569c8c18dc6301,cell_crops
cell_crops,02afb659-b787-4474-b1a0-96ad7879ad5d,relative_storage_key,cell-crops/8122e340-548f-40df-9dd4-ed43859605ff/ed18ce4e-6fb0-4f1f-b313-c9d76617210c/8cb2cae1-c3e1-487c-a274-4385f339dded/0d79b085-3c33-434f-b7a1-1c1a6395af35/crop.png,5184,2247706d821c0e8a906b9e370d752e0f05a76558db6604256deeef1c36fa1301,cell_crops
cell_crops,02f4158f-1e6d-468f-b8a6-2391b2edff4f,relative_storage_key,cell-crops/93807208-985b-4d70-bb43-c7843db4141d/f4a29ede-288f-42ba-abf0-32395606ffc4/8d3b080d-2f56-4175-b76a-dc309555e9de/43c106ef-c829-4f35-9161-81d3d59e7fb2/crop.png,6941,8c0ee242c713d7f7af9e7bcfb53eec04a36ced11a51f65f4e84b3f048ea35465,cell_crops
cell_crops,037723c4-b61e-4f90-a27c-c97c1f69b385,relative_storage_key,cell-crops/07c71166-93b3-415e-b764-6ca7344238f6/151ee7ee-b609-4e6b-985c-04af59a85470/9c45439d-fd87-46c3-944a-439ab92cbf89/29fed5eb-fe9a-4b30-8efc-9d145ac62942/crop.png,3196,1753e552c0767f62010ed95f1d9c4eb8cef8c57a0d4af3076891546eaea5973a,cell_crops
cell_crops,038d7b57-bdf6-4579-a624-36235052c7a6,relative_storage_key,cell-crops/ba5fc281-07c1-46ca-8091-0c13e6753aa4/d33fb4ff-3366-4fff-9806-8ab03314dbd1/18b27447-aed7-42fa-9142-4bab96366973/6f4f165f-c299-4ebb-8fad-aecf8d748c2c/crop.png,5118,094c6522b478ab1637b65dea939a5b26cc14728658e19af05015ddb910d8b90f,cell_crops
cell_crops,03ed63bd-0f2c-47cc-bce1-b70a6717de2b,relative_storage_key,cell-crops/07c71166-93b3-415e-b764-6ca7344238f6/151ee7ee-b609-4e6b-985c-04af59a85470/9c45439d-fd87-46c3-944a-439ab92cbf89/bf0fe304-9644-457d-b069-9129a6cd127b/crop.png,2945,f94efa8115ce48f5df45151641ce83c42bca03b735a47162286561dbc412ee3b,cell_crops
cell_crops,03f81025-c7d8-46ac-9baa-53bb769218fc,relative_storage_key,cell-crops/ae68a99c-11f7-457a-88f8-3cef9a144958/618af6de-bfab-495e-8634-e484d620ee21/650c7580-8b2e-4bc4-88e8-bf03c5bb423d/7820ec56-0f2c-48db-af41-e032f2f0b93f/crop.png,5267,af7554768d942055704560fb618bfbce17d85ee5d38bb5e3554156dd6b52cf74,cell_crops
cell_crops,03f9fbcb-b33d-4546-8b8d-5b15d06cfce2,relative_storage_key,cell-crops/e922ee8e-77f4-426a-8de9-c98840e1bb7d/cbe1ff80-b88b-4401-b918-9064927d2acf/195bafe6-f5d3-4155-8e36-a48b6d4b88bd/569890ce-4644-4a3b-b4c5-2badfecde0fe/crop.png,733,bf5c23b0c4b16b2c9f66b639f1a2ad0be63ddb96177fdfb6146cc9011e3ea69f,cell_crops
cell_crops,0425d40e-9e8e-4abe-8e65-a22187bfdd27,relative_storage_key,cell-crops/8122e340-548f-40df-9dd4-ed43859605ff/ed18ce4e-6fb0-4f1f-b313-c9d76617210c/8cb2cae1-c3e1-487c-a274-4385f339dded/04c178e6-f77e-4473-8e2a-ffbc39cd8c37/crop.png,3516,948532669f2b537ac8039af433e3948020a1247f7c00cdb32d1e0e1cace45c36,cell_crops
cell_crops,043a80e6-1dbc-4f4d-9f95-3020d83c36c4,relative_storage_key,cell-crops/54e278de-2381-4a05-8faa-42bf761f6688/50b0884e-ddde-4252-be9d-058151c986c4/f4400105-33b9-4bc0-860b-010b1cf3d386/5db5df04-613a-4945-b23c-ef464f89e282/crop.png,1387,088984ef5a0d9bfb8dd1237a86bdde6e612dd7b1ca5d6a76b65fe1bd9e018a6a,cell_crops
cell_crops,04522f47-a2c5-40f3-bfac-6bf18a151e2d,relative_storage_key,cell-crops/25afdd28-85df-4a2a-9dab-2727ced6821b/f5668b77-a7c4-4ed2-aade-94bbf92900cf/08cd9b57-9a64-410c-8133-1dbdbf2e697c/75f1529a-cfeb-4892-bd95-69704ca2399e/crop.png,4026,332e89b7ef0d57e80b7af248afae528327329d93a43b2ba4cf0d81e40ae68a80,cell_crops
cell_crops,046c95f3-3119-4ac9-b4b1-715e47645ce1,relative_storage_key,cell-crops/b0a5839c-3668-4411-b590-cc1d8fed470e/bf423fe1-2fc5-4662-9eda-ff1496c1bba9/c2a6cffd-18de-474e-ba04-2bf65b0f4f8c/a3148804-f1c3-443f-b5b6-f3faa39814e9/crop.png,5222,00f08e97c3e7f4889183ab12a60155183eeeb6d94259f990fa4ed30660c680ca,cell_crops
cell_crops,0472428a-6d34-4294-8126-1e8929b76fd5,relative_storage_key,cell-crops/39265da0-dd1a-4f17-89aa-1e661f9c473f/72553654-6802-48a4-964a-3fa748870a05/afee46ec-494f-4fe6-be85-353a4cfc0b56/6b14a386-9beb-4a5d-bc36-d2f16f469194/crop.png,5979,81c139c7812a3458a79d4640d22375a9ea2cc9845dfaf0bad994db8f69f14e60,cell_crops
cell_crops,04887d21-0e1c-4549-98e7-fcd572e03eaa,relative_storage_key,cell-crops/b0a5839c-3668-4411-b590-cc1d8fed470e/bf423fe1-2fc5-4662-9eda-ff1496c1bba9/c2a6cffd-18de-474e-ba04-2bf65b0f4f8c/b4031084-a708-416b-89fd-f0b39783d5bb/crop.png,11233,45de2342db573052abb9236ead422919bb0f4e9530acf00307ce88ab90837aa7,cell_crops
