validation_name,conflict_count,expected_count,status
preserved_exact_reference:execution_logs,0,0,PASS
preserved_exact_reference:experiments,0,0,PASS
preserved_exact_reference:explainability_results,0,0,PASS
preserved_exact_reference:identity_evidence,0,0,PASS
preserved_exact_reference:image_analysis_jobs,0,0,PASS
preserved_exact_reference:model_governance_backfill_audit,0,0,PASS
preserved_exact_reference:models,0,0,PASS
preserved_exact_reference:model_versions,0,0,PASS
preserved_exact_reference:predictions,0,0,PASS
preserved_exact_reference:roles,0,0,PASS
preserved_exact_reference:run_checkpoint_policy,0,0,PASS
preserved_exact_reference:run_clinical_metrics,0,0,PASS
preserved_exact_reference:run_dataset_images,0,0,PASS
preserved_exact_reference:run_image_predictions,0,0,PASS
preserved_exact_reference:run_io_records,0,0,PASS
preserved_exact_reference:run_lineage,0,0,PASS
preserved_exact_reference:run_metrics,0,0,PASS
preserved_exact_reference:run_model_deployments,0,0,PASS
preserved_exact_reference:runs,0,0,PASS
preserved_exact_reference:run_threshold_calibration,0,0,PASS
preserved_exact_reference:schema_migrations,0,0,PASS
preserved_exact_reference:scientific_validation_annotation_events,0,0,PASS
preserved_exact_reference:scientific_validation_annotations,0,0,PASS
preserved_exact_reference:scientific_validation_classification_runs,0,0,PASS
preserved_exact_reference:scientific_validation_detection_runs,0,0,PASS
preserved_exact_reference:scientific_validation_images,0,0,PASS
preserved_exact_reference:scientific_validation_sessions,0,0,PASS
preserved_exact_reference:stage2_model_publication_events,0,0,PASS
preserved_exact_reference:stage2_model_publications,0,0,PASS
preserved_exact_reference:synthetic_data_runs,0,0,PASS
preserved_exact_reference:training_history,0,0,PASS
preserved_exact_reference:user_roles,0,0,PASS
preserved_exact_reference:users,0,0,PASS
preserve:EVALUATE,0,0,PASS
preserve:EXPLAIN,0,0,PASS
preserve:release_*,0,0,PASS
preserve:TRAIN,0,0,PASS
schema_contract,0,0,PASS
unscoped_rows:blood_samples,0,0,PASS
unscoped_rows:cell_classification_events,0,0,PASS
unscoped_rows:cell_classification_inputs,0,0,PASS
unscoped_rows:cell_classification_reviews,0,0,PASS
unscoped_rows:cell_classification_runs,0,0,PASS
unscoped_rows:cell_crops,0,0,PASS
unscoped_rows:cell_detection_events,0,0,PASS
unscoped_rows:cell_detection_runs,0,0,PASS
unscoped_rows:cell_detections,0,0,PASS
unscoped_rows:cell_explanations,0,0,PASS
unscoped_rows:cell_predictions,0,0,PASS
unscoped_rows:image_connected_components,0,0,PASS
unscoped_rows:image_ingestion_batches,0,0,PASS
unscoped_rows:image_quality_assessments,0,0,PASS
unscoped_rows:microscopy_analysis_events,0,0,PASS
unscoped_rows:microscopy_analysis_run_images,0,0,PASS
unscoped_rows:microscopy_analysis_runs,0,0,PASS
unscoped_rows:microscopy_images,0,0,PASS
unscoped_rows:quality_assessment_queue_items,0,0,PASS
unscoped_rows:quality_gate_decisions,0,0,PASS
unscoped_rows:research_subjects,0,0,PASS
unscoped_rows:scientific_cases,0,0,PASS
unscoped_rows:scientific_reviews,0,0,PASS
unscoped_rows:smear_analysis_summaries,0,0,PASS
unscoped_rows:smear_slides,0,0,PASS
